Bharti Infratel Ltd.,TELECOM,INFRATEL,INE121J01017
Bhushan Steel Ltd.,METALS,BHUSANSTL,INE824B01021
Biocon Ltd.,PHARMA,BIOCON,INE376G01013
Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS,BIRLACORPN,INE340A01012
Bliss GVS Pharma Ltd.,PHARMA,BLISSGVS,INE416D01022
Blue Dart Express Ltd.,SERVICES,BLUEDART,INE233B01017
Blue Star Ltd.,CONSUMER GOODS,BLUESTARCO,INE472A01039
Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,BBTC,INE050A01025
Bombay Dyeing & Manufacturing Co. Ltd.,TEXTILES,BOMDYEING,INE032A01023
Bombay Rayon Fashions Ltd.,TEXTILES,BRFL,INE589G01011
Bosch Ltd.,AUTOMOBILE,BOSCHLTD,INE323A01026
Brigade Enterprises Ltd.,CONSTRUCTION,BRIGADE,INE791I01019
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,INE216A01022
CARE Ratings Ltd.,FINANCIAL SERVICES,CARERATING,INE752H01013
CCL Products (I) Ltd.,CONSUMER GOODS,CCL,INE421D01022
CG Power and Industrial Solutions Ltd.,INDUSTRIAL MANUFACTURING,CGPOWER,INE067A01029
CRISIL Ltd.,FINANCIAL SERVICES,CRISIL,INE007A01025
Cadila Healthcare Ltd.,PHARMA,CADILAHC,INE010B01027
Can Fin Homes Ltd.,FINANCIAL SERVICES,CANFINHOME,INE477A01020
Canara Bank,FINANCIAL SERVICES,CANBK,INE476A01014
Capital First Ltd.,FINANCIAL SERVICES,CAPF,INE688I01017
Caplin Point Laboratories Ltd.,PHARMA,CAPLIPOINT,INE475E01026
Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING,CARBORUNIV,INE120A01034
Castrol India Ltd.,ENERGY,CASTROLIND,INE172A01027
Ceat Ltd.,AUTOMOBILE,CEATLTD,INE482A01020
Central Bank of India,FINANCIAL SERVICES,CENTRALBK,INE483A01010
Century Plyboards (India) Ltd.,CONSUMER GOODS,CENTURYPLY,INE348B01021
Century Textile & Industries Ltd.,CEMENT & CEMENT PRODUCTS,CENTURYTEX,INE055A01016
Cera Sanitaryware Ltd,CONSTRUCTION,CERA,INE739E01017
Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT,INE085A01013
Chennai Petroleum Corporation Ltd.,ENERGY,CHENNPETRO,INE178A01016
Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN,INE121A01016
Cipla Ltd.,PHARMA,CIPLA,INE059A01026
City Union Bank Ltd.,FINANCIAL SERVICES,CUB,INE491A01021
Coal India Ltd.,METALS,COALINDIA,INE522F01014
Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,COCHINSHIP,INE704P01017
Coffee Day Enterprises Ltd.,CONSUMER GOODS,COFFEEDAY,INE335K01011
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,INE259A01022
Container Corporation of India Ltd.,SERVICES,CONCOR,INE111A01017
Coromandel International Ltd.,FERTILISERS & PESTICIDES,COROMANDEL,INE169A01031
Corporation Bank,FINANCIAL SERVICES,CORPBANK,INE112A01023
Cox & Kings Ltd.,SERVICES,COX&KINGS,INE008I01026
Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,CROMPTON,INE299U01018
Cummins India Ltd.,INDUSTRIAL MANUFACTURING,CUMMINSIND,INE298A01020
Cyient Ltd.,IT,CYIENT,INE136B01020
D B Realty Ltd.,CONSTRUCTION,DBREALTY,INE879I01012
D.B.Corp Ltd.,MEDIA & ENTERTAINMENT,DBCORP,INE950I01011
DCB Bank Ltd.,FINANCIAL SERVICES,DCBBANK,INE503A01015
DCM Shriram Ltd.,CONSUMER GOODS,DCMSHRIRAM,INE499A01024
DLF Ltd.,CONSTRUCTION,DLF,INE271C01023
Dabur India Ltd.,CONSUMER GOODS,DABUR,INE016A01026
Dalmia Bharat Ltd.,CEMENT & CEMENT PRODUCTS,DALMIABHA,INE439L01019
Deepak Fertilisers & Petrochemicals Corp. Ltd.,CHEMICALS,DEEPAKFERT,INE501A01019
Delta Corp Ltd.,SERVICES,DELTACORP,INE124G01033
Den Networks Ltd.,MEDIA & ENTERTAINMENT,DEN,INE947J01015
Dena Bank,FINANCIAL SERVICES,DENABANK,INE077A01010
Dewan Housing Finance Corporation Ltd.,FINANCIAL SERVICES,DHFL,INE202B01012
Dhanuka Agritech Ltd.,FERTILISERS & PESTICIDES,DHANUKA,INE435G01025
Dilip Buildcon Ltd.,CONSTRUCTION,DBL,INE917M01012
Dish TV India Ltd.,MEDIA & ENTERTAINMENT,DISHTV,INE836F01026
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,INE361B01024
Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,LALPATHLAB,INE600L01024
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,INE089A01023
Dredging Corporation of India Ltd.,SERVICES,DREDGECORP,INE506A01018
E.I.D. Parry (India) Ltd.,FERTILISERS & PESTICIDES,EIDPARRY,INE126A01031
EIH Ltd.,SERVICES,EIHOTEL,INE230A01023
Edelweiss Financial Services Ltd.,FINANCIAL SERVICES,EDELWEISS,INE532F01054
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,INE066A01013
Emami Ltd.,CONSUMER GOODS,EMAMILTD,INE548C01032
Endurance Technologies Ltd.,AUTOMOBILE,ENDURANCE,INE913H01037
Engineers India Ltd.,CONSTRUCTION,ENGINERSIN,INE510A01028
Equitas Holdings Ltd.,FINANCIAL SERVICES,EQUITAS,INE988K01017
Eros Intl Media Ltd.,MEDIA & ENTERTAINMENT,EROSMEDIA,INE416L01017
Escorts Ltd.,AUTOMOBILE,ESCORTS,INE042A01014
Essel Propack Ltd.,INDUSTRIAL MANUFACTURING,ESSELPACK,INE255A01020
Eveready Industries India Ltd.,CONSUMER GOODS,EVEREADY,INE128A01029
Exide Industries Ltd.,AUTOMOBILE,EXIDEIND,INE302A01020
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK,INE171A01029
Finolex Cables Ltd.,INDUSTRIAL MANUFACTURING,FINCABLES,INE235A01022
Finolex Industries Ltd.,INDUSTRIAL MANUFACTURING,FINPIPE,INE183A01016
Firstsource Solutions Ltd.,IT,FSL,INE684F01012
Future Consumer Ltd.,CONSUMER GOODS,FCONSUMER,INE220J01025
Future Lifestyle Fashions Ltd.,CONSUMER GOODS,FLFL,INE452O01016
GAIL (India) Ltd.,ENERGY,GAIL,INE129A01019
GE Power India Ltd.,INDUSTRIAL MANUFACTURING,GEPIL,INE878A01011
GE T&D India Ltd.,INDUSTRIAL MANUFACTURING,GET&D,INE200A01026
GHCL Ltd.,CHEMICALS,GHCL,INE539A01019
GMR Infrastructure Ltd.,CONSTRUCTION,GMRINFRA,INE776C01039
GVK Power & Infrastructures Ltd.,CONSTRUCTION,GVKPIL,INE251H01024
Gateway Distriparks Ltd.,SERVICES,GDL,INE852F01015
Gati Ltd.,SERVICES,GATI,INE152B01027
Gillette India Ltd.,CONSUMER GOODS,GILLETTE,INE322A01010
GlaxoSmithkline Consumer Healthcare Ltd.,CONSUMER GOODS,GSKCONS,INE264A01014
Glaxosmithkline Pharmaceuticals Ltd.,PHARMA,GLAXO,INE159A01016
Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK,INE935A01035
Godfrey Phillips India Ltd.,CONSUMER GOODS,GODFRYPHLP,INE260B01028
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP,INE102D01028
Godrej Industries Ltd.,CONSUMER GOODS,GODREJIND,INE233A01035
Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP,INE484J01027
Granules India Ltd.,PHARMA,GRANULES,INE101D01020
Great Eastern Shipping Co. Ltd.,SERVICES,GESHIP,INE017A01032
Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING,GREAVESCOT,INE224A01026
Greenply Industries Ltd.,CONSUMER GOODS,GREENPLY,INE461C01038
Gruh Finance Ltd.,FINANCIAL SERVICES,GRUH,INE580B01029
Gujarat Alkalies & Chemicals Ltd.,CHEMICALS,GUJALKALI,INE186A01019
Gujarat Fluorochemicals Ltd.,INDUSTRIAL MANUFACTURING,GUJFLUORO,INE538A01037
Gujarat Gas Ltd.,ENERGY,GUJGASLTD,INE844O01022
Gujarat Mineral Development Corporation Ltd.,METALS,GMDCLTD,INE131A01031
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS,GNFC,INE113A01013
Gujarat Pipavav Port Ltd.,SERVICES,GPPL,INE517F01014
Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,GSFC,INE026A01025
Gujarat State Petronet Ltd.,ENERGY,GSPL,INE246F01010
Gulf Oil Lubricants India Ltd.,ENERGY,GULFOILLUB,INE635Q01029
HCL Infosystems Ltd.,IT,HCL-INSYS,INE236A01020
HCL Technologies Ltd.,IT,HCLTECH,INE860A01027
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,INE040A01026
HSIL Ltd.,CONSUMER GOODS,HSIL,INE415A01038
HT Media Ltd.,MEDIA & ENTERTAINMENT,HTMEDIA,INE501G01024
Hathway Cable & Datacom Ltd.,MEDIA & ENTERTAINMENT,HATHWAY,INE982F01036
Hatsun Agro Product Ltd.,CONSUMER GOODS,HATSUN,INE473B01035
Havells India Ltd.,CONSUMER GOODS,HAVELLS,INE176B01034
HeidelbergCement India Ltd.,CEMENT & CEMENT PRODUCTS,HEIDELBERG,INE578A01017
Heritage Foods Ltd.,CONSUMER GOODS,HERITGFOOD,INE978A01027
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,INE158A01026
Hexaware Technologies Ltd.,IT,HEXAWARE,INE093A01033
Himachal Fut Com Ltd.,TELECOM,HFCL,INE548A01028
Himatsingka Seide Ltd.,TEXTILES,HIMATSEIDE,INE049A01027
Hindalco Industries Ltd.,METALS,HINDALCO,INE038A01020
Hindustan Construction Co. Ltd.,CONSTRUCTION,HCC,INE549A01026
Hindustan Copper Ltd.,METALS,HINDCOPPER,INE531E01026
Hindustan Petroleum Corporation Ltd.,ENERGY,HINDPETRO,INE094A01015
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,INE030A01027
Hindustan Zinc Ltd.,METALS,HINDZINC,INE267A01025
Housing & Urban Development Corporation Ltd.,FINANCIAL SERVICES,HUDCO,INE031A01017
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,INE001A01036
Housing Development and Infrastructure Ltd.,CONSTRUCTION,HDIL,INE191I01012
I T C Ltd.,CONSUMER GOODS,ITC,INE154A01025
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,INE090A01021
ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,ICICIPRULI,INE726G01019
ICRA Ltd.,FINANCIAL SERVICES,ICRA,INE725G01011
IDBI Bank Ltd.,FINANCIAL SERVICES,IDBI,INE008A01015
IDFC Bank Ltd.,FINANCIAL SERVICES,IDFCBANK,INE092T01019
IDFC Ltd.,FINANCIAL SERVICES,IDFC,INE043D01016
IFB Industries Ltd.,CONSUMER GOODS,IFBIND,INE559A01017
IFCI Ltd.,FINANCIAL SERVICES,IFCI,INE039A01010
IL&FS Transportation Networks Ltd.,CONSTRUCTION,IL&FSTRANS,INE975G01012
IRB Infrastructure Developers Ltd.,CONSTRUCTION,IRB,INE821I01014
ITD Cementation India Ltd.,CONSTRUCTION,ITDCEM,INE686A01026
ITI Ltd.,TELECOM,ITI,INE248A01017
Idea Cellular Ltd.,TELECOM,IDEA,INE669E01016
Igarashi Motors India Ltd.,AUTOMOBILE,IGARASHI,INE188B01013
India Cements Ltd.,CEMENT & CEMENT PRODUCTS,INDIACEM,INE383A01012
India Tourism Development Corporation Ltd.,SERVICES,ITDC,INE353K01014
Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,IBULHSGFIN,INE148I01020
Indiabulls Real Estate Ltd.,CONSTRUCTION,IBREALEST,INE069I01010
Indiabulls Ventures Ltd.,FINANCIAL SERVICES,IBVENTURES,INE274G01010
Indian Bank,FINANCIAL SERVICES,INDIANB,INE562A01011
Indian Hotels Co. Ltd.,SERVICES,INDHOTEL,INE053A01029
Indian Oil Corporation Ltd.,ENERGY,IOC,INE242A01010
Indian Overseas Bank ,FINANCIAL SERVICES,IOB,INE565A01014
Indo Count Industries Ltd.,TEXTILES,ICIL,INE483B01026
Indoco Remedies Ltd.,PHARMA,INDOCO,INE873D01024
Indraprastha Gas Ltd.,ENERGY,IGL,INE203G01027
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,INE095A01012
Infibeam Incorporation Ltd.,IT,INFIBEAM,INE483S01020
Info Edge (India) Ltd.,IT,NAUKRI,INE663F01024
Infosys Ltd.,IT,INFY,INE009A01021
Ingersoll Rand (India) Ltd.,INDUSTRIAL MANUFACTURING,INGERRAND,INE177A01018
Inox Leisure Ltd.,MEDIA & ENTERTAINMENT,INOXLEISUR,INE312H01016
Inox Wind Ltd.,INDUSTRIAL MANUFACTURING,INOXWIND,INE066P01011
Intellect Design Arena Ltd.,IT,INTELLECT,INE306R01017
InterGlobe Aviation Ltd.,SERVICES,INDIGO,INE646L01027
Ipca Laboratories Ltd.,PHARMA,IPCALAB,INE571A01020
J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA,JBCHEPHARM,INE572A01028
J.K. Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKCEMENT,INE823G01014
J.Kumar Infraprojects Ltd.,CONSTRUCTION,JKIL,INE576I01022
JBF Industries Ltd.,TEXTILES,JBFIND,INE187A01017
JK Lakshmi Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKLAKSHMI,INE786A01032
JK Tyre & Industries Ltd.,AUTOMOBILE,JKTYRE,INE573A01042
JM Financial Ltd.,FINANCIAL SERVICES,JMFINANCIL,INE780C01023
JSW Energy Ltd.,ENERGY,JSWENERGY,INE121E01018
JSW Steel Ltd.,METALS,JSWSTEEL,INE019A01038
Jagran Prakashan Ltd.,MEDIA & ENTERTAINMENT,JAGRAN,INE199G01027
Jai Corp Ltd.,INDUSTRIAL MANUFACTURING,JAICORPLTD,INE070D01027
Jain Irrigation Systems Ltd.,INDUSTRIAL MANUFACTURING,JISLJALEQS,INE175A01038
Jaiprakash Associates Ltd.,CEMENT & CEMENT PRODUCTS,JPASSOCIAT,INE455F01025
Jaiprakash Power Ventures Ltd.,ENERGY,JPPOWER,INE351F01018
Jammu & Kashmir Bank Ltd.,FINANCIAL SERVICES,J&KBANK,INE168A01041
Jet Airways (India) Ltd.,SERVICES,JETAIRWAYS,INE802G01018
Jindal Poly Films Ltd.,INDUSTRIAL MANUFACTURING,JINDALPOLY,INE197D01010
Jindal Saw Ltd.,METALS,JINDALSAW,INE324A01024
Jindal Stainless (Hisar) Ltd.,METALS,JSLHISAR,INE455T01018
Jindal Stainless Ltd.,METALS,JSL,INE220G01021
Jindal Steel & Power Ltd.,METALS,JINDALSTEL,INE749A01030
Johnson Controls - Hitachi Air Conditioning India Ltd.,CONSUMER GOODS,JCHAC,INE782A01015
Jubilant Foodworks Ltd.,CONSUMER GOODS,JUBLFOOD,INE797F01012
Jubilant Life Sciences Ltd.,PHARMA,JUBILANT,INE700A01033
Justdial Ltd.,IT,JUSTDIAL,INE599M01018
Jyothy Laboratories Ltd.,CONSUMER GOODS,JYOTHYLAB,INE668F01031
K.P.R. Mill Ltd.,TEXTILES,KPRMILL,INE930H01023
KPIT Technologies Ltd.,IT,KPIT,INE836A01035
KRBL Ltd.,CONSUMER GOODS,KRBL,INE001B01026
Kajaria Ceramics Ltd.,CONSTRUCTION,KAJARIACER,INE217B01036
Kalpataru Power Transmission Ltd.,ENERGY,KALPATPOWR,INE220B01022
Kansai Nerolac Paints Ltd.,CONSUMER GOODS,KANSAINER,INE531A01024
Karnataka Bank Ltd.,FINANCIAL SERVICES,KTKBANK,INE614B01018
Karur Vysya Bank Ltd.,FINANCIAL SERVICES,KARURVYSYA,INE036D01028
Kaveri Seed Company Ltd.,CONSUMER GOODS,KSCL,INE455I01029
Kec International Ltd.,CONSTRUCTION,KEC,INE389H01022
Kesoram Industries Ltd.,CEMENT & CEMENT PRODUCTS,KESORAMIND,INE087A01019
Kitex Garments Ltd.,TEXTILES,KITEX,INE602G01020
Kolte-Patil Developers Ltd.,CONSTRUCTION,KOLTEPATIL,INE094I01018
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,INE237A01028
Kwality Ltd.,CONSUMER GOODS,KWALITY,INE775B01025
L&T Finance Holdings Ltd.,FINANCIAL SERVICES,L&TFH,INE498L01015
L&T Technology Services Ltd.,IT,LTTS,INE010V01017
LIC Housing Finance Ltd.,FINANCIAL SERVICES,LICHSGFIN,INE115A01026
Lakshmi Machine Works Ltd.,INDUSTRIAL MANUFACTURING,LAXMIMACH,INE269B01029
Lakshmi Vilas Bank Ltd.,FINANCIAL SERVICES,LAKSHVILAS,INE694C01018
Larsen & Toubro Infotech Ltd.,IT,LTI,INE214T01019
Larsen & Toubro Ltd.,CONSTRUCTION,LT,INE018A01030
Laurus Labs Ltd.,PHARMA,LAURUSLABS,INE947Q01010
Linde India Ltd.,CHEMICALS,LINDEINDIA,INE473A01011
Lupin Ltd.,PHARMA,LUPIN,INE326A01037
MMTC Ltd.,SERVICES,MMTC,INE123F01029
MOIL Ltd.,METALS,MOIL,INE490G01020
MRF Ltd.,AUTOMOBILE,MRF,INE883A01011
Magma Fincorp Ltd.,FINANCIAL SERVICES,MAGMA,INE511C01022
Mahanagar Gas Ltd.,ENERGY,MGL,INE002S01010
Mahanagar Telephone Nigam Ltd.,TELECOM,MTNL,INE153A01019
Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,M&MFIN,INE774D01024
Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M,INE101A01026
Mahindra CIE Automotive Ltd.,INDUSTRIAL MANUFACTURING,MAHINDCIE,INE536H01010
Mahindra Holidays & Resorts India Ltd.,SERVICES,MHRIL,INE998I01010
Manappuram Finance Ltd.,FINANCIAL SERVICES,MANAPPURAM,INE522D01027
Mangalore Refinery & Petrochemicals Ltd.,ENERGY,MRPL,INE103A01014
Manpasand Beverages Ltd.,CONSUMER GOODS,MANPASAND,INE122R01018
Marico Ltd.,CONSUMER GOODS,MARICO,INE196A01026
Marksans Pharma Ltd.,PHARMA,MARKSANS,INE750C01026
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,INE585B01010
Max Financial Services Ltd.,FINANCIAL SERVICES,MFSL,INE180A01020
Max India Ltd.,HEALTHCARE SERVICES,MAXINDIA,INE153U01017
McLeod Russel India Ltd.,CONSUMER GOODS,MCLEODRUSS,INE942G01012
Merck Ltd.,PHARMA,MERCK,INE199A01012
MindTree Ltd.,IT,MINDTREE,INE018I01017
Minda Corporation Ltd.,AUTOMOBILE,MINDACORP,INE842C01021
Minda Industries Ltd.,AUTOMOBILE,MINDAIND,INE405E01023
Monsanto India Ltd.,FERTILISERS & PESTICIDES,MONSANTO,INE274B01011
Motherson Sumi Systems Ltd.,AUTOMOBILE,MOTHERSUMI,INE775A01035
Motilal Oswal Financial Services Ltd.,FINANCIAL SERVICES,MOTILALOFS,INE338I01027
MphasiS Ltd.,IT,MPHASIS,INE356A01018
Muthoot Finance Ltd.,FINANCIAL SERVICES,MUTHOOTFIN,INE414G01012
NATCO Pharma Ltd.,PHARMA,NATCOPHARM,INE987B01026
NBCC (India) Ltd.,CONSTRUCTION,NBCC,INE095N01023
NCC Ltd.,CONSTRUCTION,NCC,INE868B01028
NHPC Ltd.,ENERGY,NHPC,INE848E01016
NIIT Technologies Ltd.,IT,NIITTECH,INE591G01017
NLC India Ltd.,ENERGY,NLCINDIA,INE589A01014
NMDC Ltd.,METALS,NMDC,INE584A01023
NTPC Ltd.,ENERGY,NTPC,INE733E01010
Narayana Hrudayalaya Ltd.,HEALTHCARE SERVICES,NH,INE410P01011
National Aluminium Co. Ltd.,METALS,NATIONALUM,INE139A01034
National Fertilizers Ltd.,FERTILISERS & PESTICIDES,NFL,INE870D01012
Nava Bharat Ventures Ltd.,ENERGY,NBVENTURES,INE725A01022
Navin Fluorine International Ltd.,CHEMICALS,NAVINFLUOR,INE048G01026
Navkar Corporation Ltd.,SERVICES,NAVKARCORP,INE278M01019
Navneet Education Ltd.,MEDIA & ENTERTAINMENT,NAVNETEDUL,INE060A01024
Network18 Media & Investments Ltd.,MEDIA & ENTERTAINMENT,NETWORK18,INE870H01013
Nilkamal Ltd.,INDUSTRIAL MANUFACTURING,NILKAMAL,INE310A01015
Oberoi Realty Ltd.,CONSTRUCTION,OBEROIRLTY,INE093I01010
Oil & Natural Gas Corporation Ltd.,ENERGY,ONGC,INE213A01029
Oil India Ltd.,ENERGY,OIL,INE274J01014
Omaxe Ltd.,CONSTRUCTION,OMAXE,INE800H01010
Oracle Financial Services Software Ltd.,IT,OFSS,INE881D01027
Orient Cement Ltd.,CEMENT & CEMENT PRODUCTS,ORIENTCEM,INE876N01018
Oriental Bank of Commerce,FINANCIAL SERVICES,ORIENTBANK,INE141A01014
PC Jeweller Ltd.,CONSUMER GOODS,PCJEWELLER,INE785M01013
PI Industries Ltd.,FERTILISERS & PESTICIDES,PIIND,INE603J01030
PNB Housing Finance Ltd.,FINANCIAL SERVICES,PNBHOUSING,INE572E01012
PNC Infratech Ltd.,CONSTRUCTION,PNCINFRA,INE195J01029
PTC India Fin Serv Ltd.,FINANCIAL SERVICES,PFS,INE560K01014
PTC India Ltd.,ENERGY,PTC,INE877F01012
PVR Ltd.,MEDIA & ENTERTAINMENT,PVR,INE191H01014
Page Industries Ltd.,TEXTILES,PAGEIND,INE761H01022
Parag Milk Foods Ltd.,CONSUMER GOODS,PARAGMILK,INE883N01014
Persistent Systems Ltd.,IT,PERSISTENT,INE262H01013
Petronet LNG Ltd.,ENERGY,PETRONET,INE347G01014
Pfizer Ltd.,PHARMA,PFIZER,INE182A01018
Phoenix Mills Ltd.,CONSTRUCTION,PHOENIXLTD,INE211B01039
Pidilite Industries Ltd.,CHEMICALS,PIDILITIND,INE318A01026
Piramal Enterprises Ltd.,PHARMA,PEL,INE140A01024
Power Finance Corporation Ltd.,FINANCIAL SERVICES,PFC,INE134E01011
Power Grid Corporation of India Ltd.,ENERGY,POWERGRID,INE752E01010
Praj Industries Ltd.,INDUSTRIAL MANUFACTURING,PRAJIND,INE074A01025
